이름,날짜,상태
[IoT/VR] 가상 환경에서 무게 감을 효율적으로 사용자에게 전달하는 도르래 방식의 VR 인터페이스 프로젝트,,IoT
"[2D Game] 단편 추리 게임 “RUNA” ",,2D Game
"[2D Game] 1개월 단기 게임 1인 개발 프로젝트 ""기사가 간다""",,2D Game
[Game/VR] 가상 환경에서 사운드의 반사와 회절을 이용한 실시간 소리 제어 방법 제작 프로젝트,,Game
[Game] 사용자 이동 궤적 기반의 경로 모델을 이용한 가상 공간 내에서의 캐릭터 움직임에 관한 프로젝트,,Game
[App] JUNCTION ASIA 2023 Hackerton “My Chef Friend” App,,APP
[2D Game] 퍼즐 게임 단기 제작,,2D Game
[3D Game/Graphic] Unity Shader를 이용한 비와 물결 구현 프로젝트,,3D Game
[3D Game] 탈출 게임 프로젝트 “CAVE”,,3D Game
[3D Game] Cracker : 차원 여행자,,3D Game
"[VR] XR챌린지 2020 참여 후기 및 VR 프로젝트(Project) ""모두쇼"" ",,VR
[3D Game/VR] 스케치 드로잉을 통한 사실적인 얼굴 주름의 인터페이스 생성 프로젝트,,3D Game
[VR/IoT] 확장 현실에서 사용자의 팔 근육 연습 및 분석을 위한 립모션 기반 추적 프레임워크 프로젝트,,VR
[2D Game] 쭉쭉 내려가는 레일 위로 고양이가 폭식 합니다,,2D Game
[Game/VR] 장애물 객체의 회전 벡터를 이용한 VR 환경에서의 효율적인 음향 처리 및 합성 프로젝트,,Game
"[IoT/VR] 사용자의 걷기, 뛰기, 절름발이 움직임을 몰입감 있게 표현하기 위한 VR 인터페이스 프로젝트",,IoT
[2D Game] 자동 사냥 시물레이션 게임  (진행 중),,2D Game
"[2D Game] RPG 동물 탐사대 ",,
"[Study/Game] Python Study - 데이터 시각화 및 AI 게임 제작 프로젝트 ",,
